Name,Race,Grade,Rarity,6★ HP,6★ Strength,6★ Magic,6★ Vitality,6★ Agility,6★ Luck,Phys,Fire,Ice,Elec,Force,Light,Dark,Skill 1,Skill 2,Skill 3,Clear Archetype,Red Archetype,Yellow Archetype,Purple Archetype,Teal Archetype,Red Gacha,Yellow Gacha,Purple Gacha,Teal Gacha,AI,PATK,PDEF,MATK,MDEF
White Rider,Fiend,74,4,910 (160/190),124 (105/190),198 (25/190),115 (160/190),159 (38/190),134 (115/190),-,-,-,Drain,Weak,Resist,Resist,"Ziodyne|ジオダイン|6 MP|Inflicts Elec (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","White Noise|ホワイトノイズ|6 MP|30% chance to inflict Mute 2 to 4 times on Random Enemy/ies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.","God's Bow|ゴッドアロー|7 MP|Inflicts Light (Magic) damage with 200 power on a Single Enemy with 50% kill rate.

Lv2: +5% to damage.
Lv3: +10% to damage.
Lv4: +15% to damage.
Lv5: +20% to damage.
Lv6: +20% to damage. 100% chance of 2 MP recovery.","Bolt Storm|ショックウェーブ|5 MP|Inflicts Elec (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Soul Drain|ソウルドレイン|8 MP|Inflicts Almighty (Magic) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt and drains 1 MP.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Recarmdra|リカームドラ|8 MP|Revive All Party Members with full HP, caster dies. (1 use)",Null Bind|緊縛無効|Passive|Adds Null Bind.,Null Force|衝撃無効|Passive|Adds Force Null.,"Bufula|ブフーラ|5 MP|Inflicts Ice (Magic) damage with 140 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Good Aim|百発百中|Passive|+10% to Phys hit rate.,Mecharmdi|メチャームディ|4 MP|Cures All Party Members of Charm. Reduces the chance of being Charmed during this wave by 30%.,"Maragion|マハラギオン|6 MP|Inflicts Fire (Magic) damage with 100 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Attack,590,518,745,555
Hecatoncheires,Jaki,74,4,1399 (3/190),219 (8/190),76 (185/190),219 (3/190),61 (190/190),166 (17/190),Null,-,-,-,Weak,Weak,-,"Megaton Press|メガトンプレス|6 MP|Inflicts Phys (Physical) damage with 30% crit rate and 90 power on All Enemies.

Lv2: +4% to Phys attack hit rate.
Lv3: +7% to Phys attack hit rate.
Lv4: +10% to Phys attack hit rate.
Lv5: +13% to Phys attack hit rate.
Lv6: +16% to Phys attack hit rate.",Bloody Glee|コロシの愉悦|Passive|+15% to Critical hit rate.,"Guards of Tartarus|???|Passive|While the demon with this skill is alive, all party members will receive the following effect: 
Reduces damage received by 15% when the attacker attacks all party members.",Auto-Rakuga|ラクカオート|Passive|Casts Rakukaja at the beginning of the 1st turn.,"Binge Eating|暴飲暴食|6 MP|Inflicts Phys (Physical) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt.

Lv2: +3% to damage.
Lv3: +5% to damage.
Lv4: +7% to damage.
Lv5: +9% to damage.
Lv6: +11% to damage.",Charge|チャージ|6 MP|Self enters a state of Charge. Increases the next Phys attack damage by 125%.,Life Surge|三分の活泉|Passive|+30% to Max HP.,Drain Phys|物理吸収|Passive|Adds Phys Drain.,Phys Boost|物理ブースタ|Passive|+15% to Phys damage.,Deadly Curse|???|Passive|+30% damage to Cursed enemies.,"Acid Breath|溶解ブレス|6 MP|Reduces DEF and EV/AC of All Enemies by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.",Resist Light|破魔耐性|Passive|Adds Light Resist.,Attack,789,680,489,608
Odin,Deity,73,4,999 (124/190),176 (58/190),165 (74/190),134 (124/190),128 (106/190),115 (162/190),-,-,-,Repel,Weak,Resist,Resist,Resist Ice|氷結耐性|Passive|Adds Ice Resist.,"Bolt Storm|ショックウェーブ|5 MP|Inflicts Elec (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Gungnir|グングニル|7 MP|Inflicts Phys (Physical) damage with 30% crit rate and 145 power on All Enemies.

Lv2: +10% to Phys attack hit rate.
Lv3: +15% to Phys attack hit rate.
Lv4: +20% to Phys attack hit rate. +15% to damage.",Merciless Blow|無慈悲な一撃|Passive|+20% damage when attacking the enemy's weak point.,"Megaton Raid|メガトンレイド|7 MP|Inflicts Phys (Physical) damage with 180 power on a Single Enemy.

Lv2: +5% to damage.
Lv3: +8% to damage.
Lv4: +11% to damage.
Lv5: +14% to damage.
Lv6: +17% to damage.","Tarukaja|タルカジャ|5 MP|Increases ATK of All Party Members by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.",Great Aim|千発千中|Passive|+20% to Phys hit rate.,Null Dark|呪殺無効|Passive|Adds Dark Null.,"Evil Gaze|イービルアイ|4 MP|Inflicts Dark (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Maragi|マハラギ|5 MP|Inflicts Fire (Magic) damage with 80 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Bufula|ブフーラ|5 MP|Inflicts Ice (Magic) damage with 140 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Posumudi|ポズムディ|3 MP|Cures a Single Party Member of Poison. Reduces the chance of being Poisoned during this wave by 30%.,Attack,699,565,676,559
Anubis,Avatar,70,4,948 (147/190),76 (177/190),217 (5/190),123 (147/190),78 (183/190),186 (3/190),-,-,-,-,-,Null,Resist,Dark Boost|呪殺ブースタ|Passive|+15% to Dark damage.,"Mudodyne|ムドダイン|6 MP|Inflicts Dark (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Judgement Light|審判の光|4 MP|Inflicts Light (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Dekunda|デクンダ|5 MP|Remove debuffs from All Party Members.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.","Purgatory|煉獄|5 MP|Inflicts Dark (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Tetrakarn|テトラカーン|7 MP|All Party Members repels Physical damage for 1 turn.,Merciless Blow|無慈悲な一撃|Passive|+20% damage when attacking the enemy's weak point.,Null Dark|呪殺無効|Passive|Adds Dark Null.,"Spirit Drain|吸魔       |6 MP|Inflicts Almighty (Magic) damage with 100 power on a Single Enemy and drains 1 MP.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Poisma|ポイズマ|5 MP|40% chance to inflict Poison on a Single Enemy.

Lv2: +3% to chance to inflict status ailments.
Lv3: +6% to chance to inflict status ailments.
Lv4: +9% to chance to inflict status ailments.
Lv5: +12% to chance to inflict status ailments.
Lv6: +20% to chance to inflict status ailments.","Dia|ディア|4 MP|Heals a Single Party Member with 50 power. (9 uses)

Lv2: +3% to Healing amount.
Lv3: +6% to Healing amount.
Lv4: +9% to Healing amount.
Lv5: +12% to Healing amount.
Lv6: +15% to Healing amount.","Agilao|アギラオ|5 MP|Inflicts Fire (Magic) damage with 140 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Attack,489,503,785,573
Dantalian,Fallen,70,4,1286 (12/190),76 (174/190),195 (33/190),195 (12/190),127 (109/190),144 (78/190),-,Resist,Resist,Weak,Null,Weak,Resist,Makarakarn|マカラカーン|7 MP|All Party Members repels Magic damage for 1 turn.,"Fog Breath|フォッグブレス|6 MP|Reduces ATK and EV/AC of All Enemies by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.","Hamadyne|ハマダイン|6 MP|Inflicts Light (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Mana Gain|二分の魔脈|Passive|+2 to max MP.,"Binge Eating|暴飲暴食|6 MP|Inflicts Phys (Physical) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt.

Lv2: +3% to damage.
Lv3: +5% to damage.
Lv4: +7% to damage.
Lv5: +9% to damage.
Lv6: +11% to damage.","Binding Cry|バインドボイス|6 MP|30% chance to inflict Bind 2 to 4 times on Random Enemy/ies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.",Makara Shift|マカラカシフト|Passive|Casts Makarakarn at the beginning of a battle if the enemy attacks first.,Repel Dark|呪殺反射|Passive|Adds Dark Repel.,"Binding Cry|バインドボイス|6 MP|30% chance to inflict Bind 2 to 4 times on Random Enemy/ies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.","Ice Breath|アイスブレス|4 MP|Inflicts Ice (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Taunt|挑発|3 MP|Increases ATK and reduces of DEF of All Enemies by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.",Luck Amp II|二段の強運|Passive|+10 to Luck.,Support,489,582,739,642
Bishamonten,Kishin,70,4,1192 (30/190),207 (15/190),86 (170/190),175 (30/190),117 (134/190),133 (123/190),-,Weak,Null,-,-,-,-,Resist Light|破魔耐性|Passive|Adds Light Resist.,"Bufudyne|ブフダイン|6 MP|Inflicts Ice (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Berserker God|怪力乱神|6 MP|Inflicts Phys (Physical) damage with 160 power on a Single Enemy.

Lv2: +5% to damage.
Lv3: +8% to damage.
Lv4: +11% to damage.
Lv5: +14% to damage.
Lv6: +17% to damage.","Tarukaja|タルカジャ|5 MP|Increases ATK of All Party Members by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.","Hades Blast|冥界破|6 MP|Inflicts Phys (Physical) damage with 120 power on All Enemies.

Lv2: +4% to damage.
Lv3: +7% to damage.
Lv4: +10% to damage.
Lv5: +13% to damage.","Discord|ディスコード|3 MP|Removes Charge, Concentrate and Might from All Enemies.",Back Attack|追い打ち|Passive|+10% damage when attacking the enemy's weak point.,Resist Dark|呪殺耐性|Passive|Adds Dark Resist.,"Energy Drain|エナジードレイン       |7 MP|Inflicts Almighty (Magic) damage with 120 power on a Single Enemy, while healing caster 25% of damage dealt and drains 1 MP.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Makajamaon|マカジャマオン|6 MP|50% chance to inflict Mute on a Single Enemy.

Lv2: +3% to chance to inflict status ailments.
Lv3: +6% to chance to inflict status ailments.
Lv4: +9% to chance to inflict status ailments.
Lv5: +12% to chance to inflict status ailments.
Lv6: +20% to chance to inflict status ailments.",Mecharmdi|メチャームディ|4 MP|Cures All Party Members of Charm. Reduces the chance of being Charmed during this wave by 30%.,Resist Force|衝撃耐性|Passive|Adds Force Resist.,Attack,764,626,510,565
Yurlungur,Snake,70,4,1342 (6/190),123 (108/190),104 (145/190),207 (6/190),157 (42/190),133 (118/190),-,Weak,Null,Resist,-,-,Weak,"Mahashibaboo|マハシバブー|6 MP|30% chance to inflict Bind on All Enemies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.",Samarecarm|サマリカーム|8 MP|Revive a Single Party Member with full HP. (1 use),"Mabufula|マハブフーラ|6 MP|Inflicts Ice (Magic) damage with 100 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Luck Amp III|三段の強運|Passive|+15 to Luck.,"Bufudyne|ブフダイン|6 MP|Inflicts Ice (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Diarama|ディアラマ|6 MP|Heals a Single Party Member with 130 power. (9 uses)

Lv2: +3% to Healing amount.
Lv3: +6% to Healing amount.
Lv4: +9% to Healing amount.
Lv5: +12% to Healing amount.
Lv6: +15% to Healing amount.",Null Poison|毒無効|Passive|Adds Null Poison.,Resist Fire|火炎耐性|Passive|Adds Fire Resist.,"Acid Breath|溶解ブレス|6 MP|Reduces DEF and EV/AC of All Enemies by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.","Recarmdra|リカームドラ|8 MP|Revive All Party Members with full HP, caster dies. (1 use)",Deadly Poison|毒追撃|Passive|+30% damage to Poisoned enemies.,"Mahama|マハンマ|5 MP|Inflicts Light (Magic) damage with 80 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Support,588,619,548,609
Beiji-Weng,Fury,69,4,1089 (62/190),86 (160/190),186 (49/190),153 (62/190),157 (43/190),153 (41/190),-,Weak,Null,-,-,Resist,-,Ice Boost|氷結ブースタ|Passive|+15% to Ice damage.,"Bufudyne|ブフダイン|6 MP|Inflicts Ice (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Glacial Blast|絶対零度|5 MP|Inflicts Ice (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Recarm|リカーム|6 MP|Revive a Single Party Member with 10% HP. (3 uses),"Mabufudyne|マハブフダイン|7 MP|Inflicts Ice (Magic) damage with 120 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Barrier|バリア|4 MP|Casts a Barrier on a Single Party Member, granting immunity to all status ailments for 3 turns.",Null Curse|呪い無効|Passive|Adds Null Curse.,Repel Ice|氷結反射|Passive|Adds Ice Repel.,Resist Light|破魔耐性|Passive|Adds Light Resist.,"Mazan|マハザン|5 MP|Inflicts Force (Magic) damage with 80 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Bufu|ブフ|4 MP|Inflicts Ice (Magic) damage with 120 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Madness|乱れ狂い|Passive|+10% chance to inflict status ailments.,Attack,510,541,720,591
Sarasvati,Megami,69,4,1187 (32/190),76 (175/190),195 (31/190),174 (32/190),127 (110/190),153 (42/190),-,Weak,Null,-,-,-,Weak,"Mabufula|マハブフーラ|6 MP|Inflicts Ice (Magic) damage with 100 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Barrier|バリア|4 MP|Casts a Barrier on a Single Party Member, granting immunity to all status ailments for 3 turns.",Silent Prayer|静寂の祈り|7 MP|Cures all status ailments of All Party Members and Enemies.,"Bufudyne|ブフダイン|6 MP|Inflicts Ice (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Glacial Blast|絶対零度|5 MP|Inflicts Ice (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Mediarama|メディラマ|8 MP|Heals All Party Members with 95 power. (9 uses)

Lv2: +3% to Healing amount.
Lv3: +6% to Healing amount.
Lv4: +9% to Healing amount.",Back Attack|追い打ち|Passive|+10% damage when attacking the enemy's weak point.,Repel Ice|氷結反射|Passive|Adds Ice Repel.,Mecharmdi|メチャームディ|4 MP|Cures All Party Members of Charm. Reduces the chance of being Charmed during this wave by 30%.,Resist Curse|呪い耐性|Passive|Chance of being Cursed reduced by 50%.,Savage Glee|ミナゴロシの愉悦|Passive|+25% to Critical hit rate.,"Evil Gaze|イービルアイ|4 MP|Inflicts Dark (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Support,489,559,739,618
Gucumatz,Dragon,69,4,1140 (46/190),174 (59/190),142 (100/190),164 (46/190),88 (174/190),153 (43/190),-,Weak,Resist,-,Resist,-,-,"Heat Wave|ヒートウェイブ|5 MP|Inflicts Phys (Physical) damage with 30% crit rate and 70 power on All Enemies.

Lv2: +4% to Phys attack hit rate.
Lv3: +7% to Phys attack hit rate.
Lv4: +10% to Phys attack hit rate.
Lv5: +13% to Phys attack hit rate.
Lv6: +16% to Phys attack hit rate.","Ice Breath|アイスブレス|4 MP|Inflicts Ice (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Auto-Tarunda|タルンダオート|Passive|Casts Tarunda at the beginning of the 1st turn.,Wild Guess|野生の勘|Passive|-15% to Critical hit rate of damage received.,"Wind Breath|ウィンドブレス|4 MP|Inflicts Force (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Fog Breath|フォッグブレス|6 MP|Reduces ATK and EV/AC of All Enemies by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.",Tetra Shift|テトラカシフト|Passive|Casts Tetrakarn at the beginning of a battle if the enemy attacks first.,Null Fire|火炎無効|Passive|Adds Fire Null.,"Berserker God|怪力乱神|6 MP|Inflicts Phys (Physical) damage with 160 power on a Single Enemy.

Lv2: +5% to damage.
Lv3: +8% to damage.
Lv4: +11% to damage.
Lv5: +14% to damage.
Lv6: +17% to damage.","Tarunda|タルンダ|5 MP|Reduces ATK of All Enemies by 20% for 3 turns.

Lv2: +3% chance of 1 MP recovery.
Lv3: +6% chance of 1 MP recovery.
Lv4: +9% chance of 1 MP recovery.
Lv5: +12% chance of 1 MP recovery.","Retaliate|猛反撃|Passive|When receiving a Phys Attack, 50% chance to counter dealing Phys damage with 100 power.","Mediara|メディラ|7 MP|Heals All Party Members with 60 power. (9 uses)

Lv2: +3% to Healing amount.
Lv3: +6% to Healing amount.
Lv4: +9% to Healing amount.",Support,695,597,628,581
Ongyo-Ki,Brute,68,4,1140 (47/190),206 (16/190),86 (167/190),164 (47/190),126 (112/190),152 (50/190),Resist,-,Resist,-,Resist,Weak,-,"Dark Sword|暗夜剣|5 MP|Inflicts Phys (Physical) damage with 120 power on a Single Enemy with 40% chance to inflict Mute.

Lv2: +2% chance to inflict status ailments.
Lv3: +4% chance to inflict status ailments.
Lv4: +6% chance to inflict status ailments.
Lv5: +8% chance to inflict status ailments.
Lv6: +10% chance to inflict status ailments.
Lv7: +16% chance to inflict status ailments.",Auto-Rakuga|ラクカオート|Passive|Casts Rakukaja at the beginning of the 1st turn.,"Mabufula|マハブフーラ|6 MP|Inflicts Ice (Magic) damage with 100 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Deathtouch|デスタッチ|6 MP|Inflicts Almighty (Magic) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Nihil Claw|虚空爪激|6 MP|Inflicts Phys (Physical) damage 2 to 3 times with 75 power on Random Enemy/(ies).

Lv2: +3% to damage.
Lv3: +6% to damage.
Lv4: +9% to damage.
Lv5: +12% to damage.","Outbreak|アウトブレイク|6 MP|60% chance to inflict Weak 1 to 4 times on Random Enemy/ies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.","Death Counter|デスカウンター|Passive|When receiving a Phys Attack, 50% chance to counter dealing Phys damage with 150 power.",Null Dark|呪殺無効|Passive|Adds Dark Null.,"Counter|反撃|Passive|When receiving a Phys Attack, 50% chance to counter dealing Phys damage with 50 power.",Deadly Charm|魅了追撃|Passive|+30% damage to Charmed enemies.,Luck Amp I|初段の強運|Passive|+5 to Luck.,"Wind Breath|ウィンドブレス|4 MP|Inflicts Force (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Attack,762,613,510,553
Beelzebub,Tyrant,68,4,1084 (68/190),152 (78/190),142 (97/190),152 (68/190),146 (69/190),123 (149/190),-,-,-,Resist,Resist,Null,Null,"Mudodyne|ムドダイン|6 MP|Inflicts Dark (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Mazionga|マハジオンガ|6 MP|Inflicts Elec (Magic) damage with 100 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Gluttony|暴食の大罪|7 MP|Inflicts Dark (Magic) damage with 130 power on All Enemies, while healing caster 50% of damage dealt.

Lv2: +5% to damage.
Lv3: +10% to damage.
Lv4: +15% to damage.
Lv5: +20% to damage.
Lv6: +20% to damage. 100% chance of 2 MP recovery.",Wild Instinct|野獣の勘|Passive|-25% to Critical hit rate of damage received.,"Bolt Storm|ショックウェーブ|5 MP|Inflicts Elec (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Outbreak|アウトブレイク|6 MP|60% chance to inflict Weak 1 to 4 times on Random Enemy/ies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.",Makara Shift|マカラカシフト|Passive|Casts Makarakarn at the beginning of a battle if the enemy attacks first.,Repel Light|破魔反射|Passive|Adds Light Repel.,"Madezoreton|マハデゾレトオン|7 MP|70% chance to inflict Weak on All Enemies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.",Resist Phys|物理耐性|Passive|Adds Phys Resist.,Bloody Glee|コロシの愉悦|Passive|+15% to Critical hit rate.,Resist Elec|電撃耐性|Passive|Adds Elec Resist.,Attack,649,573,628,568
Prometheus,Deity,67,4,896 (166/190),163 (65/190),226 (4/190),112 (166/190),78 (184/190),133 (126/190),-,Null,Weak,-,-,Resist,-,Fire Boost|火炎ブースタ|Passive|+15% to Fire damage.,Makara Shift|マカラカシフト|Passive|Casts Makarakarn at the beginning of a battle if the enemy attacks first.,"Agidyne|アギダイン|6 MP|Inflicts Fire (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Vitality Amp III|三段の恵体|Passive|+15 to Vitality.,"Maragidyne|マハラギダイン|7 MP|Inflicts Fire (Magic) damage with 120 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Recarmdra|リカームドラ|8 MP|Revive All Party Members with full HP, caster dies. (1 use)",Infinite Chakra|無限のチャクラ|Passive|Increases naturally recovered MP by 1 MP.,Drain Fire|火炎吸収|Passive|Adds Fire Drain.,Resist Elec|電撃耐性|Passive|Adds Elec Resist.,"Mazanma|マハザンマ|6 MP|Inflicts Force (Magic) damage with 100 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Madness|乱れ狂い|Passive|+10% chance to inflict status ailments.,Resist Poison|毒耐性|Passive|Chance of being Poisoned reduced by 50%.,Attack,672,534,804,566
